type,slug,title,category,status,priority,target_keywords,related_slugs,scheduled_week
learn,speech-to-speech-translation,What Is Speech-to-Speech Translation?,Translation,planned,P0,"speech to speech translation, S2ST","how-does-ai-dubbing-work,how-ai-dubbing-pipeline-works,what-is-ai-voice-translation",5
learn,ai-translation-accuracy-2026,How Accurate Is AI Translation in 2026?,Translation,planned,P1,"AI translation accuracy, machine translation quality","ai-dubbing-accuracy,model-evaluation-dubbing,how-to-measure-dubbing-quality",6
learn,app-localization-guide,How to Localize an App for Global Markets,Translation,planned,P1,"app localization, localize app AI","how-to-localize-app,localization-for-saas,multilingual-seo",6
learn,website-localization-guide,How to Localize a Website with AI,Translation,planned,P1,"website localization, localize website","how-to-localize-website,multilingual-seo,hreflang-tags-explained",6
learn,game-localization-guide,How to Localize a Video Game with AI,Translation,planned,P1,"game localization, video game translation","ai-dubbing-for-gaming,how-to-localize-game,voice-cloning-for-gaming",7
learn,video-localization-explained,What Is Video Localization?,Translation,planned,P0,"video localization, localize video","what-is-ai-dubbing,ai-dubbing-for-video,how-to-translate-video-to-another-language",7
learn,audio-localization-explained,What Is Audio Localization?,Translation,planned,P1,"audio localization, localize audio content","ai-dubbing-for-audio,ai-dubbing-for-podcasts,video-localization-explained",7
learn,content-localization-strategy,How to Build a Content Localization Strategy,Translation,planned,P1,"localization strategy, content localization plan","enterprise-localization-strategy,content-globalization-playbook,localization-workflow",8
learn,localization-roi,What Is the ROI of Content Localization?,Translation,planned,P0,"localization ROI, return on localization","dubbing-roi-calculator,dubbing-for-revenue-growth,traditional-vs-ai-dubbing-cost",8
learn,localization-vs-dubbing,Localization vs Dubbing: Relationship Explained,Translation,planned,P2,"localization vs dubbing","what-is-ai-localization,what-is-ai-dubbing,translation-vs-localization",9
learn,cultural-adaptation-in-dubbing,What Is Cultural Adaptation in Dubbing?,Translation,planned,P1,"cultural adaptation dubbing, cultural localization","what-is-transcreation,how-to-handle-dubbing-edge-cases,localization-testing",9
learn,rtl-language-localization,Localizing for Right-to-Left Languages,Translation,planned,P2,"RTL localization, Arabic localization, Hebrew localization","ai-dubbing-in-arabic,ai-dubbing-in-hebrew,tonal-language-dubbing",10
learn,tonal-language-dubbing,AI Dubbing for Tonal Languages: Challenges and Solutions,Translation,planned,P2,"tonal language dubbing, Mandarin dubbing, Thai dubbing","ai-dubbing-in-mandarin,ai-dubbing-in-thai,what-is-prosody",10
learn,multilingual-seo,What Is Multilingual SEO?,Translation,planned,P1,"multilingual SEO, international SEO","hreflang-tags-explained,website-localization-guide,content-localization-strategy",11
learn,hreflang-tags-explained,What Are Hreflang Tags?,Translation,planned,P2,"hreflang tags, hreflang SEO","multilingual-seo,website-localization-guide,localization-testing",11
learn,localization-testing,How to Test Localized Content Quality,Translation,planned,P2,"localization testing, QA localization","how-to-quality-check-dubbed-content,how-to-measure-dubbing-quality,localization-workflow",12
learn,human-in-the-loop-dubbing,What Is Human-in-the-Loop AI Dubbing?,Translation,planned,P1,"human in the loop dubbing, AI plus human dubbing","how-to-quality-check-dubbed-content,ai-dubbing-quality-2026,what-is-dubstudio",12
learn,localization-workflow,What Does a Localization Workflow Look Like?,Translation,planned,P1,"localization workflow, localization process","content-localization-strategy,dubbing-workflow-best-practices,localization-testing",12
learn,localization-for-ecommerce,Localization for E-Commerce: Why 60% Won't Buy in English,Translation,planned,P1,"ecommerce localization, online store localization","localization-roi,dubbing-for-revenue-growth,website-localization-guide",13
learn,localization-for-saas,Localization for SaaS Products,Translation,planned,P1,"SaaS localization, software localization","app-localization-guide,localization-for-ecommerce,how-to-localize-app",13
learn,localization-market-opportunity,Global Localization Market: Size and Opportunity by Region,Translation,planned,P1,"localization market size, localization industry","dubbing-market-trends-2026,localization-market-by-region,content-globalization-playbook",14
learn,simultaneous-interpretation-vs-ai,AI Translation vs Human Simultaneous Interpretation,Translation,planned,P1,"AI vs human interpreter, AI simultaneous translation","real-time-ai-translation,realtime-translation-for-conferences,ai-dubbing-vs-traditional-dubbing",14
learn,subtitle-translation-vs-dubbing,Subtitle Translation vs AI Dubbing: Pros and Cons,Translation,planned,P0,"subtitles vs dubbing, subtitle or dub","ai-dubbing-vs-subtitles,what-is-ai-dubbing,video-localization-explained",14
learn,what-is-text-to-speech,What Is Text-to-Speech (TTS)?,TTS-STT,planned,P1,"text to speech, what is TTS","what-is-neural-tts,tts-vs-voice-cloning,glossary-tts",5
learn,what-is-neural-tts,What Is Neural Text-to-Speech?,TTS-STT,planned,P1,"neural TTS, neural text to speech","what-is-text-to-speech,tts-engines-compared,mars8-model-family",5
learn,tts-vs-voice-cloning,TTS vs Voice Cloning: What Is the Difference?,TTS-STT,planned,P1,"TTS vs voice cloning, text to speech vs cloning","what-is-text-to-speech,what-is-voice-cloning,voice-cloning-vs-text-to-speech",6
learn,what-is-speech-to-text,What Is Speech-to-Text (STT)?,TTS-STT,planned,P1,"speech to text, what is STT, transcription","what-is-asr,transcription-for-dubbing,glossary-stt",6
learn,what-is-asr,What Is Automatic Speech Recognition (ASR)?,TTS-STT,planned,P2,"ASR, automatic speech recognition","what-is-speech-to-text,transcription-for-dubbing,glossary-asr",7
learn,tts-engines-compared,TTS Engines Compared: MARS8 vs Competitors,TTS-STT,planned,P0,"TTS comparison, best text to speech","mars8-model-family,best-tts-engines-2026,what-is-neural-tts",7
learn,tts-for-dubbing,How TTS Powers AI Dubbing,TTS-STT,planned,P1,"TTS dubbing, text to speech dubbing","how-does-ai-dubbing-work,what-is-text-to-speech,how-ai-dubbing-pipeline-works",8
learn,tts-for-accessibility,TTS for Accessibility: Making Content Available to Everyone,TTS-STT,planned,P2,"TTS accessibility, text to speech accessibility","voice-cloning-for-accessibility,what-is-text-to-speech,tts-voices-explained",8
learn,tts-voices-explained,How Are AI TTS Voices Created?,TTS-STT,planned,P2,"TTS voices, AI voice creation","what-is-voice-synthesis,what-is-generative-voice,what-is-neural-tts",9
learn,tts-latency,What Is TTS Latency and Why Does It Matter?,TTS-STT,planned,P2,"TTS latency, time to first byte TTS","latency-optimization-live-dubbing,glossary-time-to-first-byte,glossary-latency",9
learn,what-is-expressive-tts,What Is Expressive Text-to-Speech?,TTS-STT,planned,P1,"expressive TTS, emotional TTS","emotion-transfer-in-ai-dubbing,what-is-prosody,what-is-neural-tts",10
learn,what-is-generative-voice,What Are Generative Voices?,TTS-STT,planned,P1,"generative voices, AI voice generation","what-is-voice-synthesis,tts-voices-explained,what-is-neural-tts",10
learn,transcription-for-dubbing,How Transcription Powers the Dubbing Pipeline,TTS-STT,planned,P2,"transcription dubbing, ASR for dubbing","what-is-speech-to-text,what-is-asr,how-ai-dubbing-pipeline-works",11
learn,what-is-prosody,What Is Prosody in Speech?,TTS-STT,planned,P1,"prosody, speech prosody, prosody transfer","prosody-transfer-explained,glossary-prosody,what-is-expressive-tts",11
learn,prosody-transfer-explained,What Is Prosody Transfer in AI Dubbing?,TTS-STT,planned,P1,"prosody transfer, tone transfer AI","what-is-prosody,prosody-transfer-deep-dive,emotion-transfer-in-ai-dubbing",11
learn,what-is-phoneme,What Is a Phoneme?,TTS-STT,planned,P2,"phoneme, phonemes in TTS","glossary-phoneme,text-normalization-tts,what-is-prosody",12
learn,tts-for-multilingual-content,Using TTS for Multilingual Content Creation,TTS-STT,planned,P1,"multilingual TTS, TTS multiple languages","tts-engines-compared,ai-dubbing-languages-supported,how-to-localize-content-150-languages",12
learn,what-is-voice-synthesis,What Is Voice Synthesis?,TTS-STT,planned,P2,"voice synthesis, speech synthesis","what-is-text-to-speech,what-is-generative-voice,glossary-tts",13
learn,mars8-model-family,The MARS8 Model Family Explained,TTS-STT,planned,P0,"MARS8, CAMB AI MARS8, MARS8 models","tts-engines-compared,voice-cloning-quality-comparison,open-source-dubbing-models",13
learn,tts-api-guide,How to Use a TTS API for Your Application,TTS-STT,planned,P1,"TTS API, text to speech API","what-is-dubbing-api,how-to-integrate-dubbing-api,how-to-use-camb-ai-python-sdk",14
learn,ai-lip-sync-explained,What Is AI Lip Sync?,Lip Sync,planned,P1,"AI lip sync, lip sync technology","visual-dubbing-technology,lip-sync-vs-audio-only,how-ai-lip-sync-works",8
learn,visual-dubbing-technology,What Is Visual Dubbing?,Lip Sync,planned,P1,"visual dubbing, video dubbing lip sync","ai-lip-sync-explained,lip-sync-for-film,lip-sync-accuracy",8
learn,lip-sync-vs-audio-only,Lip Sync vs Audio-Only Dubbing: When Does It Matter?,Lip Sync,planned,P1,"lip sync vs audio dubbing","ai-lip-sync-explained,ai-dubbing-for-video,visual-dubbing-technology",9
learn,how-ai-lip-sync-works,How Does AI Lip Sync Work?,Lip Sync,planned,P2,"how lip sync works, AI lip sync technology","ai-lip-sync-explained,facial-animation-dubbing,talking-head-generation",9
learn,lip-sync-accuracy,How Accurate Is AI Lip Sync in 2026?,Lip Sync,planned,P2,"lip sync accuracy, lip sync quality","ai-lip-sync-explained,how-ai-lip-sync-works,ai-dubbing-quality-2026",10
learn,lip-sync-for-film,AI Lip Sync for Film and TV,Lip Sync,planned,P2,"lip sync film, movie lip sync AI","visual-dubbing-technology,ai-dubbing-for-entertainment,how-to-dub-a-movie",10
learn,lip-sync-for-social-media,AI Lip Sync for Social Media Videos,Lip Sync,planned,P2,"lip sync TikTok, lip sync Reels","ai-dubbing-for-short-form,ai-dubbing-for-tiktok,ai-dubbing-for-instagram",11
learn,talking-head-generation,What Is AI Talking Head Generation?,Lip Sync,planned,P2,"talking head AI, AI talking head","ai-lip-sync-explained,facial-animation-dubbing,visual-dubbing-technology",11
learn,facial-animation-dubbing,Facial Animation in AI Dubbing,Lip Sync,planned,P2,"facial animation dubbing, face animation AI","how-ai-lip-sync-works,talking-head-generation,lip-sync-for-film",12
learn,youtube-lip-sync-dubbing,YouTube's Lip-Sync Feature vs Dedicated Tools,Lip Sync,planned,P1,"YouTube lip sync, YouTube dubbing lip sync","youtube-auto-dubbing-vs-professional,ai-lip-sync-explained,lip-sync-accuracy",12
learn,ai-dubbing-for-entertainment,AI Dubbing for Entertainment and Film Studios,Industry,planned,P0,"AI dubbing entertainment, film dubbing AI","ai-dubbing-for-studios,how-to-dub-a-movie,lip-sync-for-film",5
learn,ai-dubbing-for-sports,AI Dubbing for Sports Broadcasting,Industry,planned,P0,"AI dubbing sports, sports commentary dubbing","realtime-translation-for-sports,ai-dubbing-for-esports,ai-dubbing-for-broadcasters",5
learn,ai-dubbing-for-elearning,AI Dubbing for E-Learning and Online Courses,Industry,planned,P0,"AI dubbing e-learning, online course dubbing","ai-dubbing-for-educators,how-to-dub-online-course,voice-cloning-for-elearning",6
learn,ai-dubbing-for-gaming,AI Dubbing for Video Games,Industry,planned,P0,"AI dubbing gaming, game voice localization","ai-dubbing-for-game-studios,how-to-localize-game,voice-cloning-for-gaming",6
learn,ai-dubbing-for-news-media,AI Dubbing for News and Media,Industry,planned,P1,"AI dubbing news, news broadcast dubbing","ai-dubbing-for-news-organizations,realtime-translation-for-news,ai-dubbing-for-broadcasters",7
learn,ai-dubbing-for-corporate,AI Dubbing for Corporate Communications,Industry,planned,P1,"corporate dubbing, internal comms dubbing","ai-dubbing-for-training-videos,ai-dubbing-for-hr-teams,how-to-dub-corporate-video",7
learn,ai-dubbing-for-podcasts-industry,AI Dubbing for Podcast Localization,Industry,planned,P1,"podcast dubbing, localize podcast AI","ai-dubbing-for-podcasters,how-to-dub-podcast,how-to-create-multilingual-podcast",8
learn,ai-dubbing-for-customer-support,AI Dubbing for Customer Support Videos,Industry,planned,P1,"customer support dubbing, support video localization","voice-cloning-for-customer-support,ai-dubbing-for-product-demos,ai-dubbing-for-corporate",8
learn,ai-dubbing-for-advertising,AI Dubbing for Advertising and Marketing,Industry,planned,P1,"ad dubbing AI, marketing video localization","ai-dubbing-for-marketers,voice-cloning-for-advertising,how-to-dub-ad",9
learn,ai-dubbing-for-healthcare,AI Dubbing for Healthcare and Medical Content,Industry,planned,P2,"healthcare dubbing, medical content localization","ai-dubbing-for-government,ai-dubbing-for-legal,ai-dubbing-for-corporate",9
learn,ai-dubbing-for-legal,AI Dubbing for Legal and Compliance Content,Industry,planned,P2,"legal dubbing, legal video translation","dubbing-compliance-regulations,ai-dubbing-for-healthcare,ai-dubbing-for-government",10
learn,ai-dubbing-for-government,AI Dubbing for Government and Public Services,Industry,planned,P2,"government dubbing, public service localization","ai-dubbing-for-government-persona,ai-dubbing-for-legal,ai-dubbing-for-healthcare",10
learn,ai-dubbing-for-religious-content,AI Dubbing for Religious and Faith-Based Content,Industry,planned,P2,"religious content dubbing, sermon translation","how-to-dub-sermon,ai-dubbing-for-nonprofits,ai-dubbing-for-audio",11
learn,ai-dubbing-for-tourism,AI Dubbing for Tourism and Hospitality,Industry,planned,P2,"tourism dubbing, travel content localization","ai-dubbing-for-advertising,video-localization-explained,localization-for-ecommerce",11
learn,ai-dubbing-for-music-videos,AI Dubbing for Music Videos,Industry,planned,P2,"music video dubbing, song localization AI","ai-dubbing-for-entertainment,ai-dubbing-for-short-form,ai-dubbing-for-audio",12
learn,ai-dubbing-for-documentaries,AI Dubbing for Documentaries,Industry,planned,P1,"documentary dubbing AI, documentary localization","how-to-dub-documentary,ai-dubbing-for-entertainment,ai-dubbing-for-studios",12
learn,ai-dubbing-for-youtube,AI Dubbing for YouTube Creators,Industry,planned,P0,"YouTube dubbing, dub YouTube videos","how-to-dub-youtube-video,best-ai-dubbing-for-youtube,how-to-build-multilingual-youtube",6
learn,ai-dubbing-for-tiktok,AI Dubbing for TikTok Creators,Industry,planned,P1,"TikTok dubbing, dub TikTok videos","how-to-dub-tiktok-video,ai-dubbing-for-short-form,ai-dubbing-for-instagram",7
learn,ai-dubbing-for-instagram,AI Dubbing for Instagram Reels,Industry,planned,P2,"Instagram Reels dubbing, dub Reels","how-to-dub-instagram-reel,ai-dubbing-for-short-form,ai-dubbing-for-tiktok",8
learn,ai-dubbing-for-twitch,AI Dubbing for Twitch Streamers,Industry,planned,P2,"Twitch dubbing, live stream translation Twitch","ai-dubbing-for-live-streaming,ai-dubbing-for-esports,realtime-translation-for-sports",9
learn,ai-dubbing-for-webinars,AI Dubbing for Webinars and Virtual Events,Industry,planned,P1,"webinar dubbing, virtual event translation","how-to-dub-webinar-recording,realtime-translation-for-webinars,realtime-translation-for-conferences",9
learn,ai-dubbing-for-training-videos,AI Dubbing for Employee Training Videos,Industry,planned,P1,"training video dubbing, L&D localization","ai-dubbing-for-hr-teams,how-to-dub-corporate-video,ai-dubbing-for-corporate",10
learn,ai-dubbing-for-product-demos,AI Dubbing for Product Demos and Sales Videos,Industry,planned,P1,"product demo dubbing, sales video localization","ai-dubbing-for-advertising,ai-dubbing-for-marketers,how-to-expand-to-new-markets",10
learn,ai-dubbing-for-investor-relations,AI Dubbing for Investor Relations and Earnings Calls,Industry,planned,P2,"investor relations dubbing, earnings call translation","ai-dubbing-for-corporate,ai-dubbing-for-enterprises,ai-dubbing-for-legal",11
learn,ai-dubbing-for-esports,AI Dubbing for Esports Broadcasts,Industry,planned,P1,"esports dubbing, esports commentary translation","ai-dubbing-for-sports,realtime-translation-for-sports,ai-dubbing-for-twitch",11
learn,voice-cloning-for-film,Voice Cloning for Film: Preserve Actor Performances,Industry,planned,P1,"voice cloning film, actor voice clone","ai-dubbing-for-entertainment,lip-sync-for-film,voice-cloning-for-dubbing",12
learn,voice-cloning-for-gaming,Voice Cloning for Game Voice Acting,Industry,planned,P1,"voice cloning gaming, game character voice clone","ai-dubbing-for-gaming,voice-cloning-use-cases,ai-dubbing-for-game-studios",13
learn,voice-cloning-for-advertising,Voice Cloning for Ad Localization at Scale,Industry,planned,P2,"voice cloning ads, ad voice localization","ai-dubbing-for-advertising,voice-cloning-for-marketing,how-to-dub-ad",13
learn,voice-cloning-for-accessibility,Voice Cloning for Accessibility Applications,Industry,planned,P2,"voice cloning accessibility, voice banking","tts-for-accessibility,voice-cloning-use-cases,glossary-voice-banking",14
learn,voice-cloning-for-customer-support,Voice Cloning for IVR and Customer Support,Industry,planned,P2,"voice cloning IVR, customer service voice AI","ai-dubbing-for-customer-support,voice-cloning-use-cases,voice-cloning-for-advertising",14
learn,realtime-translation-for-conferences,Real-Time AI Translation for Conferences,Industry,planned,P1,"conference translation AI, event translation real-time","simultaneous-interpretation-vs-ai,how-to-set-up-live-dubbing,real-time-ai-translation",7
learn,realtime-translation-for-sports,Real-Time AI Translation for Sports Broadcasting,Industry,planned,P0,"sports translation real-time, live sports dubbing","ai-dubbing-for-sports,streaming-architecture-dubstream,what-is-dubstream",7
learn,realtime-translation-for-news,Real-Time AI Translation for News Broadcasting,Industry,planned,P1,"news translation real-time, live news dubbing","ai-dubbing-for-news-media,realtime-translation-for-sports,ai-dubbing-for-broadcasters",8
learn,realtime-translation-for-webinars,Real-Time AI Translation for Webinars,Industry,planned,P2,"webinar translation real-time, live webinar dubbing","ai-dubbing-for-webinars,realtime-translation-for-conferences,how-to-dub-webinar-recording",9
learn,realtime-translation-for-customer-calls,Real-Time AI Translation for Customer Calls,Industry,planned,P2,"customer call translation, real-time phone translation","voice-cloning-for-customer-support,ai-dubbing-for-customer-support,real-time-ai-translation",10
learn,ai-dubbing-in-spanish,AI Dubbing in Spanish: Latin American and European,Language,planned,P0,"Spanish dubbing AI, dub to Spanish","english-to-spanish-dubbing,ai-dubbing-languages-supported,ai-dubbing-in-portuguese",3
learn,ai-dubbing-in-hindi,AI Dubbing in Hindi,Language,planned,P0,"Hindi dubbing AI, dub to Hindi","english-to-hindi-dubbing,ai-dubbing-languages-supported,ai-dubbing-in-tamil",3
learn,ai-dubbing-in-japanese,AI Dubbing in Japanese,Language,planned,P0,"Japanese dubbing AI, dub to Japanese","english-to-japanese-dubbing,japanese-to-english-dubbing,how-to-dub-anime",3
learn,ai-dubbing-in-korean,AI Dubbing in Korean,Language,planned,P0,"Korean dubbing AI, dub to Korean","english-to-korean-dubbing,korean-to-english-dubbing,how-to-dub-kdrama",4
learn,ai-dubbing-in-arabic,AI Dubbing in Arabic,Language,planned,P0,"Arabic dubbing AI, dub to Arabic","english-to-arabic-dubbing,arabic-to-english-dubbing,rtl-language-localization",4
learn,ai-dubbing-in-portuguese,AI Dubbing in Portuguese: Brazilian and European,Language,planned,P0,"Portuguese dubbing AI, dub to Portuguese","english-to-portuguese-dubbing,portuguese-to-english-dubbing,ai-dubbing-in-spanish",4
learn,ai-dubbing-in-french,AI Dubbing in French,Language,planned,P0,"French dubbing AI, dub to French","english-to-french-dubbing,french-to-english-dubbing,ai-dubbing-in-german",5
learn,ai-dubbing-in-german,AI Dubbing in German,Language,planned,P0,"German dubbing AI, dub to German","english-to-german-dubbing,german-to-english-dubbing,ai-dubbing-in-french",5
learn,ai-dubbing-in-mandarin,AI Dubbing in Mandarin Chinese,Language,planned,P0,"Mandarin dubbing AI, Chinese dubbing AI","english-to-mandarin-dubbing,mandarin-to-english-dubbing,tonal-language-dubbing",5
learn,ai-dubbing-in-italian,AI Dubbing in Italian,Language,planned,P1,"Italian dubbing AI, dub to Italian","english-to-italian-dubbing,ai-dubbing-in-french,ai-dubbing-in-spanish",6
learn,ai-dubbing-in-russian,AI Dubbing in Russian,Language,planned,P1,"Russian dubbing AI, dub to Russian","english-to-russian-dubbing,ai-dubbing-in-polish,ai-dubbing-languages-supported",6
learn,ai-dubbing-in-turkish,AI Dubbing in Turkish,Language,planned,P1,"Turkish dubbing AI, dub to Turkish","english-to-turkish-dubbing,ai-dubbing-in-arabic,ai-dubbing-languages-supported",7
learn,ai-dubbing-in-thai,AI Dubbing in Thai,Language,planned,P1,"Thai dubbing AI, dub to Thai","english-to-thai-dubbing,tonal-language-dubbing,ai-dubbing-in-vietnamese",7
learn,ai-dubbing-in-vietnamese,AI Dubbing in Vietnamese,Language,planned,P1,"Vietnamese dubbing AI, dub to Vietnamese","english-to-vietnamese-dubbing,ai-dubbing-in-thai,ai-dubbing-in-indonesian",8
learn,ai-dubbing-in-indonesian,AI Dubbing in Indonesian,Language,planned,P1,"Indonesian dubbing AI, dub to Indonesian","english-to-indonesian-dubbing,ai-dubbing-in-malay,ai-dubbing-in-filipino",8
learn,ai-dubbing-in-malay,AI Dubbing in Malay,Language,planned,P2,"Malay dubbing AI, dub to Malay","ai-dubbing-in-indonesian,ai-dubbing-in-filipino,ai-dubbing-languages-supported",9
learn,ai-dubbing-in-polish,AI Dubbing in Polish,Language,planned,P2,"Polish dubbing AI, dub to Polish","ai-dubbing-in-czech,ai-dubbing-in-russian,ai-dubbing-languages-supported",9
learn,ai-dubbing-in-dutch,AI Dubbing in Dutch,Language,planned,P2,"Dutch dubbing AI, dub to Dutch","ai-dubbing-in-german,ai-dubbing-in-swedish,ai-dubbing-languages-supported",10
learn,ai-dubbing-in-swedish,AI Dubbing in Swedish,Language,planned,P2,"Swedish dubbing AI, dub to Swedish","ai-dubbing-in-dutch,ai-dubbing-in-german,ai-dubbing-languages-supported",10
learn,ai-dubbing-in-tamil,AI Dubbing in Tamil,Language,planned,P1,"Tamil dubbing AI, dub to Tamil","english-to-tamil-dubbing,ai-dubbing-in-hindi,ai-dubbing-in-telugu",8
learn,ai-dubbing-in-telugu,AI Dubbing in Telugu,Language,planned,P2,"Telugu dubbing AI, dub to Telugu","english-to-telugu-dubbing,ai-dubbing-in-tamil,ai-dubbing-in-hindi",9
learn,ai-dubbing-in-bengali,AI Dubbing in Bengali,Language,planned,P1,"Bengali dubbing AI, dub to Bengali","english-to-bengali-dubbing,ai-dubbing-in-hindi,ai-dubbing-in-urdu",9
learn,ai-dubbing-in-urdu,AI Dubbing in Urdu,Language,planned,P2,"Urdu dubbing AI, dub to Urdu","english-to-urdu-dubbing,ai-dubbing-in-hindi,ai-dubbing-in-arabic",10
learn,ai-dubbing-in-swahili,AI Dubbing in Swahili,Language,planned,P2,"Swahili dubbing AI, dub to Swahili","english-to-swahili-dubbing,ai-dubbing-languages-supported,ai-dubbing-in-arabic",11
learn,ai-dubbing-in-filipino,AI Dubbing in Filipino,Language,planned,P2,"Filipino dubbing AI, dub to Filipino","english-to-filipino-dubbing,ai-dubbing-in-indonesian,ai-dubbing-in-malay",11
learn,ai-dubbing-in-hebrew,AI Dubbing in Hebrew,Language,planned,P2,"Hebrew dubbing AI, dub to Hebrew","rtl-language-localization,ai-dubbing-in-arabic,ai-dubbing-languages-supported",12
learn,ai-dubbing-in-greek,AI Dubbing in Greek,Language,planned,P2,"Greek dubbing AI, dub to Greek","ai-dubbing-in-italian,ai-dubbing-in-turkish,ai-dubbing-languages-supported",12
learn,ai-dubbing-in-czech,AI Dubbing in Czech,Language,planned,P2,"Czech dubbing AI, dub to Czech","ai-dubbing-in-polish,ai-dubbing-in-hungarian,ai-dubbing-languages-supported",13
learn,ai-dubbing-in-romanian,AI Dubbing in Romanian,Language,planned,P2,"Romanian dubbing AI, dub to Romanian","ai-dubbing-in-hungarian,ai-dubbing-in-italian,ai-dubbing-languages-supported",13
learn,ai-dubbing-in-hungarian,AI Dubbing in Hungarian,Language,planned,P2,"Hungarian dubbing AI, dub to Hungarian","ai-dubbing-in-czech,ai-dubbing-in-romanian,ai-dubbing-languages-supported",14
learn,english-to-spanish-dubbing,English to Spanish AI Dubbing,Language Pair,planned,P0,"English to Spanish dubbing, translate English to Spanish video","ai-dubbing-in-spanish,spanish-to-english-dubbing,how-to-dub-a-movie",3
